REGRGP_NOM;REG_NOM;REG_NOM_OLD;ACA_NOM;DEP_NOM;COM_CODE;COM_CODE1;COM_CODE2;COM_ID;COM_NOM_MAJ_COURT;COM_NOM_MAJ;COM_NOM;UU_CODE;UU_ID;UUCR_ID;UUCR_NOM;UU_WIKIDATA;UU_PAYSAGE;ZE_ID;DEP_CODE;DEP_ID;DEP_NOM_NUM;DEP_NUM_NOM;DEP_WIKIDATA;DEP_PAYSAGE;NUTS_CODE_3;ACA_CODE;ACA_ID;ACA_WIKIDATA;ACA_PAYSAGE;REG_CODE;REG_ID;REG_WIKIDATA;NUTS_CODE_1;REG_PAYSAGE;REG_CODE_OLD;REG_ID_OLD;FD_ID;FR_ID;FE_ID;UU_ID_10;UU_ID_99;AU_CODE;AU_ID;AUC_ID;AUC_NOM;EPCI_ID;EPCI_NOM;ATLAS_ID;ATLAS_NOM;ATLAS_WIKIDATA;ATLAS_PAYSAGE;geolocalisation;COM_NOM_DEBUT;COM_NOM_FIN;COM_NOM_ANCIENS;COM_NOM_ANCIENS_DATES;COM_CODE_ACTUEL;COM_CODE_ACTUEL_DEPUIS
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38141;38141;38141;C38141;CULIN;CULIN;Culin;;SO;CR38141;Culin;;;ZE8406;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;002;AU002;AU002;Lyon;200059392;CC Bièvre Isère;CR38141;Culin;;;45.523855087, 5.245233104;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38191;38191;38191;C38191;HUEZ;HUEZ;Huez;;SO;CR38191;Huez;;;ZE8409;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;;AU000;C38191;Huez;243800745;CC de l'Oisans;CR38191;Huez;;;45.097084781, 6.084624911;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38334;38334;38334;C38334;REVEL;REVEL;Revel;;SO;CR38334;Revel;;;ZE8409;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;010;AU010;AU010;Grenoble;200018166;CC Le Grésivaudan;CR38334;Revel;;;45.168116612, 5.909494182;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38361;38361;38361;C38361;ST AREY;SAINT AREY;Saint-Arey;;SO;CR38361;Saint-Arey;;;ZE8409;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;;AU998;C38361;Saint-Arey;200040657;CC de la Matheysine;CR38361;Saint-Arey;;;44.882465361, 5.742626098;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38451;38451;38451;C38451;ST ROMAIN DE JALIONAS;SAINT ROMAIN DE JALIONAS;Saint-Romain-de-Jalionas;38116;UU38116;UU38116;Saint-Romain-de-Jalionas;;;ZE8421;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;UU38112;UU00453;002;AU002;AU002;Lyon;200068542;CC Les Balcons du Dauphiné;UU38116;Saint-Romain-de-Jalionas;;;45.752155538, 5.224241397;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38481;38481;38481;C38481;SEREZIN DE LA TOUR;SEREZIN DE LA TOUR;Sérézin-de-la-Tour;;SO;CR38481;Sérézin-de-la-Tour;;;ZE8406;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;002;AU002;AU002;Lyon;243800604;CA Porte de l'Isère (CAPI);CR38481;Sérézin-de-la-Tour;;;45.555072987, 5.341412524;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38256;38256;38256;C38256;MONTFERRAT;MONTFERRAT;Montferrat;38303;UU38303;UU38303;Les Abrets en Dauphiné;;;ZE8435;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;010;AU010;AU010;Grenoble;243800984;CA du Pays Voironnais;UU38303;Les Abrets en Dauphiné;;;45.475439326, 5.578948856;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38293;38293;38293;C38293;PANISSAGE;PANISSAGE;Panissage;;SO;SO;Panissage;;;SO;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;SO;SO;SO;SO;SO;SO;SO;Panissage;;;45.49499867, 5.459725169;;2019-01-01;;;38560;2019-01-01
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38295;38295;38295;C38295;PARMILIEU;PARMILIEU;Parmilieu;;SO;CR38295;Parmilieu;;;ZE8405;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;002;AU002;AU002;Lyon;200068542;CC Les Balcons du Dauphiné;CR38295;Parmilieu;;;45.844970979, 5.354503327;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38309;38309;38309;C38309;POISAT;POISAT;Poisat;38701;UU38701;UU38701;Grenoble;Q3551026;dbfsp;ZE8409;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;UU38701;UU38701;010;AU010;AU010;Grenoble;200040715;Grenoble-Alpes-Métropole;UU38701;Grenoble;Q3551026;dbfsp;45.153823787, 5.77035349;;;;;;
